	icao_code	shortnames
383	PGE	Prestigeavia
384	AVM	Aviacion Ejecutiva Mexicana
385	PSO	Aerotaxis Pegaso de C.V.
386	PKP	Mountain Air Express
387	VAN	Caravan Air
388	JNH	M & N Equipment
389	MGD	Miami Air Lease
390	PSX	Pacific Southwest Airlines
391	NXF	Nextflight Aviation
392	CIR	Arctic Circle Air Service
393	MEE	Elimediterranea Srl
394	CSM	Aeroservice-Sabit
395	BHN	Bristow Helicopters
396	CRN	Empresa Aerocaribbean
397	SRI	Air Safaris And Services
398	TRU	Triangle Airline
399	JAF	TUI Fly
400	VCN	Execujet Charter Ag
401	BWE	Baltimore Air Transport
402	CCD	Carlos Cervantes Del Rio
403	JAR	Airlink Luftverkehrsgesellschaft M.b.h.
404	GLG	Aerogal Aerolineas Galapagos
405	VIP	Europe Elite
406	NTP	Nistransair
407	CVC	Centre-Avia
408	NAY	Navegacion Y Servicios Aereos Canarios
409	JSC	Airstan
410	NCT	NokScoot
411	PPS	Butte Aviation
412	CYL	Alitalia CityLiner
413	DSL	Diamond Sakha Airlines
414	SUM	State Unitary Air Enterprise
415	WSF	West African Airlines
416	PNL	Aero Personal
417	HEA	Heliavia-Transporte Aereo, Lda
418	TAY	ASL Airlines Belgium
419	DWW	Jet Courier Service
420	AWF	Arab Air Cargo
421	NLH	Norwegian Long Haul
422	NAA	Norwegian Air Argentina S.A.
423	QAS	Quisqueya Airlines
424	ASA	Alaska Airlines
425	HLB	High-Line
426	DOR	Dornier Reparaturwerft
427	FCC	Cri-Costa
428	AUT	Austral Lineas Aereas
429	AOD	Aero Vodochody
430	VSO	Voronezh Aircraft Manufacturing Society
431	SYB	Symbol Publicidad
432	RNL	Serendib Express
433	RBN	Red Baron Aviation
434	CYP	Cyprus Airways
435	LLP	Small Planet
436	DJU	Air Djibouti
437	YWZ	West Coast Air
438	XAR	
439	LTD	Southern Airways Express
440	BAP	Trans International Express Aviation
441	RKA	Air Afrique
442	BSI	Brasair Transportes Aereos
443	RZR	Zephyr Express
444	MZS	Mahfooz Aviation
445	SKF	Skycraft
446	NKS	Spirit
447	PTZ	North-West Air Forest Fire Center
448	CFN	Church Fenton Ftu
449	CJI	Corporate Jets
450	RTO	Arhabaev Tourism Airlines
451	GAO	
452	VEF	Virgin Express France
453	HLF	Hapag Lloyd Fluggesellschaft Mbh
454	SHW	Air South
455	KAK	Aviatrack
456	TCL	Escape Aviation
457	HTR	Holstenair Lubeck, Luftverkehrsservice
458	CXE	Caicos Express Airways
459	ZAR	Zairean Airlines
460	NTW	Nationwide Air
461	RVE	Airventure, Bvbd
462	PBR	
463	BNS	Valley National Corp. D/B/A Bancstar
464	CUK	Polo Aviation Ltd
465	EVA	EVA Air
466	COE	Comitel Bedarfsfluge Kg
467	FLV	Flight, Joint-Stock Company
468	TLE	Air Toulouse
469	CAS	Christman Air System
470	SXI	
471	ACG	Air London International Plc
472	PPA	Propheter Construction Company D/B/A Propheter Aviation
473	DCM	fltplan.com
474	CRW	Crownair
475	BLM	The Black Magic Project
476	IXX	Dolphin Express
477	WLO	Willowair Ltd
478	BOI	Aboitiz Air Transport
479	FFM	
480	NDC	Nordic East Airlink
481	AMI	Air Maldives
482	FPG	Tag Aviation
483	PDG	Plm Dollar Group Limited
484	AOO	As, Opened Joint Stock Company
485	ETM	Transportes Aereos Tamaulipas de C.V.
486	FZA	
487	KVS	Kevis
488	MRY	Murray Air
489	EAU	Elitavia Malta
490	MCE	Marshall Of Cambridge
491	TUU	Compania Aerea de Servicios Tur Air
492	TRI	Executive Flight Operations, Ontario Government
493	HTY	Helity
494	PDC	Potomac Air
495	HLG	Helog AG, Helikoptertransporte
496	DIN	Aerodin de C.V.
497	VQI	Flyme
498	OST	Alania, Leasing Airline
499	PJC	Pittsburgh Jet Center
500	UPA	Air Foyle
501	UKM	UM Air
502	CSX	Enterprise Consultants Ltd
503	HHE	Heli-Holland
504	ALH	Alpha Air
505	FBR	Belair Ile de France
506	NWF	
507	MLH	Mahalo Air
508	AFR	Air France
509	FIL	Avia Filipinas International
510	SSR	Sempati Air
511	ITG	Interlace Airlines Limited
512	FDL	Farmingdale State University
513	SHI	Seoul Air International
514	WHR	Hummingbird Helicopter Service, LLC
515	PHN	Phoenix Air Lines
516	AJT	Amerijet International
517	ALC	Southern Jersey Airways
518	VZR	Aviazur
519	IAC	Indian Airlines
520	GCL	Greenclose Aviation Services Ltd
521	CHN	Channel Island Aviation
522	TTN	Lip-Avia
523	CSW	SW Italia
524	ACD	Academy Airlines
525	RKP	Aeroclip
526	FAS	Afrique Air Affaires
527	MAA	Aerotransportes Mas de Carga S.A. de C.V.
528	BIR	Bird Leasing
529	AAL	American Airlines
530	ADG	Aviones Y Servicios Del Golfo de C.V.
531	GWA	Great Western Air
532	YFS	Young Flying Service
533	MDJ	Jaro International S.a.
534	AZB	Azamat
535	CQH	
536	AGL	Air Angouleme
537	OTA	
538	LID	Alidaunia Srl
539	VTK	Vostok
540	LOC	Locair
541	TVA	Trans America Airlines
542	SRO	Servicios Aereos Rutas Oriente S.A. de C.V.
543	PFR	Pacificair
544	CAT	Copenhagen Airtaxi
545	OSV	Vladikavkaz State Air Enterprise
546	PNO	
547	FRN	Tulip Air Charter B.v.
548	NCS	Simpson Air
549	LCM	Lineas Aereas Comerciales de C.V.
550	IVR	Burundaiavia
551	MGL	Mongolian
552	LEP	Air Costa
553	WJM	
554	APJ	Peach Aviation
555	SVI	Servicios de Transporte Aereo de C.V.
556	EQA	Eagle Aviation Ltd
557	AZE	Cosmos Air Luftfahrtunternehmen GMBH, Mannheim
558	TDB	Welch Aviation
559	MAN	Mannion Air Charter
560	AJW	Alpha Jet
561	OKL	State Of Oklahoma, Dept. Of Public Saftety
562	BRS	Brazilian Air Force
563	HLK	Heli-Link
564	KBA	Kenn Borek Air Ltd.
565	SOA	Skoda Air
566	STL	Stapleford Flight Centre
567	ARF	
568	JAK	Jana-Arka
569	SGG	Saeaga
570	EXC	
571	KAA	Asia Aero Survey And Consulting Engineers, Inc
572	AGY	Aero Flight Service
573	KJA	Avistar
574	SEL	Sentel
575	FBU	
576	ADN	Aerodienst GMBH, Nurnburg
577	ITS	Inter-State Aviation
578	CFA	China Flying Dragon
579	TIR	Antair de C.V.
580	AME	Aeronave Militar Espanola. Ministerio de Defensa
581	ROI	Avior Airlines
582	GPE	Gp Express
583	PHR	Al Farana Airline
584	KMA	Komiaviatrans
585	PAL	Philippine Air Lines
586	EZE	Eastern Airways
587	DJS	DayJet
588	PDF	Lar Transregional, Linhas Aereas Regionais
589	ATC	Air Tanzania
590	IBS	Iberia Express
591	LIT	Air Littoral
592	RCG	Royal Air Cargo
593	NYG	Nyge Aero Trafikflyg AB
594	LNT	Aerolineas Internacionales de C.V.
595	DEI	Eco Air International
596	RHC	Redhill Aviation Ltd
597	HXA	
598	CWG	Clear Wing
599	AIE	Air Inuit
600	DAL	Delta
601	DAH	Air Algerie
602	OHC	Jet Select
603	LIS	Airlis
604	MPX	Aeromexpress de C.V.
605	MPC	Mountain Pacific Air Ltd
606	DLH	Lufthansa
607	ROR	Roraima
608	GAQ	Golfe Air Quebec Ltee.
609	KAL	Korean Air Lines Co.
610	HVY	Heavylift Cargo Airlines
611	CLT	Caribbean Air Transport Co.
612	MWT	Midwest Aviation Division
613	MNO	Mango Airlines
614	HGR	
615	IBZ	International Business Air
616	GML	G & L Aviation
617	AZI	Astra Airlines
618	RCA	Richland Aviation
619	TGW	Scoot
620	VUE	Ad Aviation Limited
621	HSB	Szer-Bon RT
622	CAB	Chesapeake Air Service
623	TEL	Telford Aviation
624	NDA	Northern Airways
625	GCA	Great China Airlines
626	FIB	Freeway Iberica
627	CMJ	Mudanjiang General Aviation Co.
628	KOZ	Angel
629	LMS	Lomas Helicopters
630	KMP	Kampuchea Airlines
631	SHT	British Airways Shuttle
632	WCO	Columbia Helicopters
633	IDG	I.d.g. Technology Air
634	BED	Belgorod State Aviation Enterprise
635	CFR	
636	GDH	Guneydogu Havacilik Isletmesi Ltd Std
637	PCO	
638	OSN	Aerosan de C.V.
639	NAW	Newair
640	KBZ	Air KBZ
641	FSY	Private Air Inc
642	HRA	Heli-Iberica
643	OUL	Air Atonabee Limited
644	KLB	Air Mali
645	LIR	Lionair S.A.
646	QAF	Qatar Amiri Flight
647	EDG	
648	ITT	Inter Trans Air
649	CEE	C-Air
650	HLV	Heliserv de C.V.
651	SXN	SaxonAir
652	PRM	Prime Air
653	RDE	Woodbury Park
654	GNJ	
655	IBB	Binter Canarias
656	CPL	Chaparral Airlines
657	AHW	Aeromist/Kharkiv
658	ETI	H-Bird Aviation Services
659	CBF	China Northern Airlines
660	IEP	Elipiu'
661	PSN	Potosina Del Aire de C.V.
662	TEY	Antey, Joint-Stock Company
663	TCU	Inter Tropical Aviation
664	KRF	Uk Royal/vip Flights
665	HCP	Helicopter
666	IIA	Interamericana de Aviacion Ltda.
667	IRR	Tara
668	MAS	Malaysia Airlines
669	BNB	Aero Banobras de C.V.
670	YOG	Central Aviation
671	HMF	Norrlandsflyg AB
672	LBT	Nouvel Air Tunisie
673	MVP	
674	FWC	Freeway Air
675	KAF	Kyrgyz Air
676	STE	Semitool Europe
677	SGL	Senegalair
678	PTH	Proteus Helicopters
679	PSD	President
680	ARX	Air Xpress
681	ETL	Patterson Aviation Company
682	RRF	Uk Royal/positioning Flights
683	KME	
684	CYA	Cheyenne Airways
685	CYB	City Air Bus Ltd
686	JFK	Keenair Charter Ltd
687	KAW	Kaz Air West
688	FLJ	Flair Jet
689	ESE	Avesen de C.V.
690	PST	Airwork New Zealand Ltd
691	VRI	Aerotaxi Villa Rica de C.V.
692	LAY	Airlat
693	MOR	Morefly A/s
694	SSC	Southern Seaplane
695	KTR	Ht Helikoptertransport AB
696	FJT	Fly Jet
697	THO	Transportes Aereos Centroamericanos de Honduras
698	HIT	Helitalia
699	JBA	Helijet
700	UBA	
701	TRR	Tramson Limited
702	BMI	BMI
703	ETD	Etihad Airways
704	LEH	Leeds Central Helicopters
705	PSZ	Pro Air
706	RCB	Real Aero Club de Baleares
707	UPB	Air Foyle Charters
708	KAS	Kingston Air Services
709	CFG	Condor
710	ITC	International Air Carrier Assn (IACA)
711	SIF	Skycy Freighters International
712	UKZ	Zoom
713	JTA	Japan Transocean Air Co.
714	PTV	Puntavia Air Services
715	BOS	Level
716	OLO	Soloflight
717	TPI	Topair
718	BUL	Blue Airlines
719	SNV	Aero Servicio Del Norte de C.V.
720	ACB	African Cargo Services Limited
721	DHC	De Havilland
722	QTR	Qatar Airways
723	BIT	Northeast Aviation
724	BBZ	Blue Bird Aviation
725	CYZ	China Postal Airlines
726	LCI	Lufthansa Cargo India
727	RCD	Real Aeroclub de Tenerife
728	ADC	Air Atlantic Dominicana
729	APG	Philippines AirAsia
730	RPX	Bac Express Airlines Limited
731	IGP	Igap
732	WSI	Wind Spirit Air
733	EIA	Evergreen International Airlines
734	VAB	Viking
735	VSV	
736	BFC	Basler Flight Service
737	AAZ	Angus Aviation Ltd
738	CEG	Cega Aviation Limited
739	GGL	Gira Globo
740	CMI	Continental Micronesia
741	RUF	Air 1st Aviation
742	ROF	Romanian Air Force
743	PHE	Pawan Hans
744	EGU	Eagle Aviation
745	GNA	Servicios Aereos Gana de C.V.
746	UED	Air L.a.
747	LNE	
748	DRD	Dardanel Air Havacilik Ve Sanayi Ticaret A.S.
749	HMR	North American Charters
750	JOS	
751	AEK	Aero Costa Rica
752	NSE	SATENA
753	ISV	Islena Airlines
754	MAI	Mauritania
755	TBD	Thunderbird Tours
756	CLO	Litoral Airlines
757	MLT	
758	CHH	Hainan Airlines
759	LIZ	MyTravel Lite
760	MEK	Med-Trans Of Florida
761	BKU	Bykovo-Avia
762	AWJ	Sahel Airlines
