	icao_code	shortnames
1740	AVC	Aeronautica Venezolana, C.a.
1741	DNC	
1742	GRR	Agroar-trabalhos Aeros
1743	ANB	Air Navigation And Trading Co. Ltd.
1744	VUN	Air Ivoire, Societe
1745	GES	Gestair
1746	VTM	Aeronaves TSM
1747	NSH	
1748	IPA	Ipec Aviation Pty. Ltd.
1749	GMB	Beriev Aviation Scientific Technical Complex
1750	CKA	Cook Inlet Aviation
1751	URF	Surf Air
1752	DAS	Dialogue-S-Aero
1753	XGA	General Aviation Terminal
1754	WGT	
1755	ALX	Congo  Sprl
1756	IYE	Yemenia, Yemen Airways
1757	PIR	Pamir Air
1758	ITA	Inter-Air
1759	FCO	Aerofrisco
1760	XNC	Canadian National Telecommunications
1761	BOA	Boniair
1762	OAW	Helvetic
1763	VLK	Vladivostok Air
1764	CSS	
1765	BKJ	Barken International
1766	BFG	Bear Flight
1767	JLJ	J-Air
1768	TTL	Total Linhas Aereas S/a
1769	JTL	Jet Linx Aviation LLC
1770	MRX	Hermen's Markair Express
1771	NWT	Northwest Territorial Airways
1772	ELW	Elitorino
1773	WEC	Universal Airlines
1774	OKJ	Okada Airlines
1775	PFO	Aerotrans
1776	CHC	China Ocean Helicopter Corp. - COHC
1777	KAC	Kuwait Airways Corporation
1778	GDB	Gendarmerie Belge
1779	TRE	Trans-Eastern Airlines
1780	WSW	Swoop
1781	SOE	Air Soleil
1782	JCF	Jet Center Flight Training
1783	GAP	PAL Express
1784	DST	Aex Air
1785	MSH	US Marshals Service
1786	CXA	XiamenAir
1787	MLN	Corporate Air
1788	KRI	Krilo
1789	GOG	Mframa  Limited
1790	VLJ	
1791	THG	Thurston Aviation
1792	MVM	Air Cargo America
1793	FJS	Florida Jet Service, Inc
1794	ESQ	
1795	QKC	Aero Taxi Aviation
1796	EJE	Executive Jet Aviation SA
1797	CNA	Canavia Lineas Aereas
1798	DUC	Aircompany Duncan
1799	TLM	Thai Lion
1800	SDO	Aerolineas Santo Domingo
1801	DON	Donair Flying Club Ltd
1802	LSY	Lindsay
1803	JUB	Jubba Airways
1804	BEC	Berkut Air
1805	BKL	Baikal
1806	TIL	Tajikistan International Airlines
1807	DCX	Pentastar Aviation
1808	XCN	
1809	LXL	Air Wings
1810	CGF	
1811	PAP	Langtry Flying Group Ltd
1812	STW	Start
1813	IDA	Indonesia Air Transport P.t.
1814	NAM	Nortland Air Manitoba
1815	AIC	Air India
1816	LYM	Key Lime Air
1817	ETR	Helitour, S.l.
1818	BIA	Bohlke international
1819	AGS	Air Gambia
1820	UJT	Universal Jet Aviation
1821	MIR	Miramichi Air Service
1822	PAQ	Pacific Air Express
1823	OKC	Private Jets
1824	IBU	Indigo
1825	CTP	Tashkent Aircraft Production
1826	VGO	International Air Tours Limited
1827	TSI	Transport'air
1828	QLK	
1829	IKT	Sakha Avia
1830	TVM	Tavria-Mak
1831	JFS	Juanda Flying School
1832	PVJ	
1833	CNX	Allcanada Express
1834	LAS	Compania Aerea Lineas Ecuatoguineanas de Aviacion S.A.
1835	GXA	Gulf Express Aviation
1836	MXR	Merrix Air Ltd
1837	SQL	Servicios de Alquiler Aereo de C.V.
1838	EAZ	Eastern Air Limited
1839	ABI	Antigua And Barbuda Airways
1840	ELX	Elan Express
1841	RBH	Regal Bahamas Airways
1842	PTR	
1843	ARD	Ata-Aerocondor
1844	AEU	United Air Express
1845	CFD	Cranfield Institute Of Technology
1846	DBG	Air Dabia
1847	NVR	Nova Airlines
1848	RSE	Snas Aviation
1849	CMK	Chernomor-Avia
1850	AKH	Akhal
1851	TLA	Translift Airways
1852	HEE	Heli Europe
1853	WAD	Waddington Ftu
1854	LHT	Lufthansa Technik Ag, Hamburg
1855	CUI	Cancun Air de C.V.
1856	TCE	Trans-Colorado
1857	TGA	Air Togo
1858	DZR	Midwest Aviation
1859	TYF	Tayflite Limited
1860	NKA	Norcanair
1861	SPE	Sprague Electric Co.
1862	MSI	Motor Sich
1863	AKN	Alkan Air
1864	SAQ	Springbank Aviation
1865	ATT	Aer Turas Teoranta
1866	BRY	Brymon European
1867	BHI	Balkh Airlines
1868	ACM	Air Caledonia
1869	USA	US Airways
1870	KAO	Kazan Aviation Production Association
1871	JBR	Job Air, Ltd
1872	JET	European Jet Ltd
1873	LNK	South African Airlink
1874	KLR	Columbus Air Transport
1875	EVM	Natural Environment Research Council Airborne Remote Sensing Facility
1876	SYC	Systec 2000
1877	GIN	Association de Recherche Et D'exploitation de Diamant Et de L'or
1878	ROV	Rover Airways
1879	NLI	
1880	TRB	Ukraine Transavia
1881	TWL	Trade Winds
1882	MSE	Mas Havacilik Ve Merkezi Pazarlama Tic. A.s.
1883	TVQ	Travel Service
1884	XWW	World Weatherwatch
1885	MIA	Mauria, Societe Mauritanienne D'aviation
1886	PKT	Pektron Limited
1887	CAU	Cancun Avioturismo
1888	GIR	Guinee Air Union
1889	HAM	Hamarfly AS
1890	ICS	International Charter Services de C.V.
1891	PSA	Pacific Island Aviation
1892	VLO	Varig Log
1893	ORE	Greendale Aviation Company Ltd
1894	SID	Sideral Air Crago
1895	TRO	Tropic Airlines-Air Molokai
1896	MST	Aeroamistad de C.V.
1897	NRA	Nitra Air
1898	TEM	Tech-Mont Helicopter Company Ltd
1899	DAI	Denair Aviation Limited
1900	WTA	Africa West
1901	SDP	Aero Sudpacifico
1902	THZ	Trans Helicoptere Service
1903	BEL	
1904	HVN	Vietnam Airlines
1905	AEO	Aeroservicios Ejecutivos Del Occidente de C.V.
1906	CNG	Coastal Airways
1907	SNH	Sunshine Air
1908	TXS	Texas Airlines
1909	ANR	Yanair
1910	LMU	AlMasria Universal Airlines
1911	BIG	Big Island Air
1912	VCT	Viscount Air Service
1913	BMH	Bristow Masayu Helicopters P.t.
1914	KAD	Air Kirovograd
1915	DAA	Decatur Aviation
1916	JFY	Foster Yeoman Ltd.
1917	CRH	Cri Helicopters Mexico de C.V.
1918	TSN	Trans-Air Services
1919	AVF	Aviair Aviation
1920	EXP	Business Express Delivery Ltd.
1921	URT	Avia-Urartu
1922	CSL	Minson Aviation D/B/A California Air Shuttle
1923	AIN	African International Airways
1924	RJA	Royal Jordanian
1925	EAV	Elitavia
1926	TNX	Trener Ltd
1927	LAB	L A B Flying Service
1928	FTC	Air Affaires Tchad
1929	FJC	Falcon Jet Centre
1930	VES	Vieques Air Link
1931	FNH	Phoenix, Joint-Stock Company
1932	PMT	Perm Motors
1933	GTS	Gats Guinea S.a.
1934	CFT	Jet Freighters
1935	CAP	USAFX Civil Air Patrol
1936	LPA	Pal Aerolineas de C.V.
1937	HLU	Heli Union Heli Prestations
1938	FPD	Aeroleasing
1939	CHE	Top Flight Air Service
1940	ALL	Aliserio
1941	DPT	Libertas Airways
1942	XXS	Skyplan Services Ltd.
1943	CHX	Chirag Air
1944	SWL	Swe Aviation Europe AB
1945	BMS	
1946	VAI	Avalair
1947	NLK	Elbrus-Avia Air Enterprise
1948	ITX	Imair
1949	SKY	Skymark
1950	DEC	Deltacraft Oy, Finland
1951	RJZ	Royal Jordanian Air Force
1952	DVA	Discovery
1953	NAE	Nations Air Express D/B/A Miami Air Charter
1954	GGC	Cargo 360
1955	CDR	Bombardier Montreal
1956	CNU	Air Consul
1957	BVN	Baron Aviation
1958	PIA	Pakistan International Airlines Corporation (PIA)
1959	AIR	Airlift
1960	AVL	Aviation Adventures
1961	CML	Commander Air Charter Limited
1962	AQC	Alquiladora de Casas de C.V.
1963	SPS	Spasa
1964	ONE	
1965	SHP	Service Aerien Francais
1966	PRP	Prt Aviation S.l.
1967	JDV	J D Valenciana de Aviacion
1968	EMD	Eaglemed
1969	SXA	Southern Cross Aviation
1970	EIC	Express International Cargo Corporation
1971	JAW	Jamahiriya
1972	DBA	Air Alpha
1973	EKC	East Kansas City Aviation
1974	NYB	Force Navale Belge
1975	GBJ	Wm Aero Charter
1976	JZR	
1977	GZA	Grenzland Air Service, Stadtlohn
1978	PGU	Georgia Air Prague
1979	VVV	Intercontinental Airlines
1980	BON	Air Bosna
1981	TRL	Transeast
1982	BUR	Air Bucharest
1983	LNX	London Executive Aviation Ltd
1984	SNP	Sun Pacific International
1985	AON	Aero Entreprise
1986	PHD	Duncan
1987	RTR	Sociedade Brasileira de Turismo
1988	HCY	Helios
1989	TRY	Tristar
1990	NSM	Global Jet Corp
1991	LWA	Libyan Wings
1992	ADF	Ade, Aviacion Deportiva S.l.
1993	NAG	Northern Air Charter Aps & Co Kg, Flensgurg
1994	VJS	
1995	AWB	Airways International
1996	ERG	Aviaenergo
1997	SEE	Shaheen Air Cargo
1998	SLG	Saskatchewan Government Air Ambulance Service
1999	MIW	Airborne Of Sweden AB
2000	SHJ	Sharjah Ruler's Flight
2001	RTE	Aeronorte - Transportes Aereos, Lda
2002	BLN	Bali International Air Service
2003	AYB	Force Terrestre Belge
2004	LGD	Legend
2005	OZR	
2006	SLC	Swiftlines Limited
2007	HCO	Harco
2008	WFD	Avro International Aerospace
2009	AZS	Aviacon Zitotrans
2010	OND	Condomett
2011	SEK	Salaam Express Air Services
2012	ESW	
2013	RNO	Normandie Aviation
2014	DKE	Jubilee Airways
2015	IFC	Indian Air Force
2016	PLA	Polynesian Air-Ways
2017	BLV	Bell-View
2018	BHS	Bahamasair Holdings Ltd.
2019	SCM	American Jet International
2020	ABF	Aerial Oy, Finland
2021	SGB	Sky King
2022	RBY	Vision
2023	KGC	Peach Air
2024	CYH	Yunnan Airlines
2025	EME	Metro Express D/B/A Eastern Metro Express
2026	JPB	ACP Jets
2027	USH	U.S. Helicopter
2028	VIE	Vip Empresarial de C.V.
2029	IND	Iona National Airways
2030	ECI	Eastern Carolina Aviation
2031	EHD	E H Darby Aviation
2032	RDN	Dinar
2033	LFI	National
2034	TOR	Toronto Airways
2035	RLY	Aerolineas Yasi de C.V.
2036	JCK	Jackson Air Services Ltd.
2037	KLI	Kolyma-Avia
2038	LUV	Luxembourg Air Rescue A.s.b.l.
2039	MCK	Macair
2040	TFN	Norwegian Aviation College A/s
2041	MPS	Metropolis Noord
2042	AUC	Aero Marine Consulting
2043	BMX	Banco de Mexico
2044	KGL	Metrojet
2045	AHG	Aerochago
2046	IPM	Ipm Europe
2047	MYN	Mayan World Airlines
2048	GPL	Dlr Deutsche Forschungsanstalt Fur Luft Und Raumfahrt, Braunschweig
2049	DAG	Daghestan Airlines
2050	PFC	Pacific International Airlines
2051	NIR	Norskair
2052	VMA	Vero Monmouth
2053	ERA	Eurocommander
2054	HNA	Greek Navy
2055	KFB	STAjets
2056	GBU	Transports Aeriens de La Guinee-Bissau
2057	IUS	Icarus
2058	MAX	Max-aviation
2059	JMX	Air Jamaica Express Limited
2060	GLB	Air Castle
2061	GAN	Gander Aviation Ltd.
2062	PVG	Privilege Style
2063	TOT	Totavia - Aviation Information Services
2064	GMC	General Motors
2065	WAL	World Atlantic Airlines
2066	HLN	Air Holland Leasing Iii B.v.
2067	NLU	Insel Air Aruba
2068	PGX	Paragon Air Express
2069	KRE	Aerosucre S.A.
2070	CNF	Canary Fly
2071	ROS	Ats-Aviation Transport Services
2072	KLH	Klm Helicopter N.v.
2073	TPC	Air Caledonie
2074	HOL	Holiday Airlines
2075	TMS	Temsco Helicopters
2076	TYW	TYROL AMBULANCE
2077	ESL	East Line
2078	CHI	Cougar Helicopters
2079	TPJ	
2080	RLV	Real Aviation Limited
2081	CFJ	Fujian
2082	RCX	Air Service Center Srl
2083	SAK	Red Arrows Display Squadron
2084	DCF	Cardinal Airlines Limited
2085	ISG	Clubair Sixgo
2086	QSC	African Safari Airways
2087	SIZ	Aero Silza de C.V.
2088	RLU	Rusline
2089	OTC	Aero-Transportes de Carga de C.V.
2090	SRT	Trans Asian Airlines
2091	SCI	Special Cargo Airlines
2092	FIT	Aero Fiesta Mexicana de C.V.
2093	NBN	North British Airlines Ltd
2094	DAR	Danish Army
2095	HOR	Horizon Air-Taxi Ltd
2096	SKK	ASKY Airlines
2097	VGD	Vanguard
2098	SLH	Silverhawk Aviation
2099	RVF	
2100	NSJ	
2101	CIF	Caribbean Flights
2102	HUS	Heussler Air Service Corp
2103	SWT	Swiftair
2104	AOJ	Aero-Jet
2105	RAK	Riga Airclub
2106	ASS	Air Class de C.V.
2107	SAW	Vilga-Aviaservise
2108	BDJ	CROWN JET
2109	SFD	Skyfield
2110	VID	Aviaprad
2111	ASF	Air Schefferville
2112	UKR	Air Ukraine
2113	GLF	Gulfstream Aerospace
2114	FXI	Air Iceland
2115	CNS	
2116	PRI	Primera Air
2117	KMR	Western Pacific Airlines
2118	KSS	Raytheon Travel Air
2119	WHS	Wiking Helikopter Service
2120	ARU	
2121	OEG	Orient Eagle
2122	LAA	Libyan Airlines
2123	MLI	Air Mali
2124	RIS	Air Services Ltd
2125	FFV	SWIFT TANGO
2126	ALO	Pennsylvania Commuter Airlines
2127	TWT	Transwest Airlines
2128	FFU	Gec Marconi Avionics Ltd
2129	LWG	
2130	SEH	Sky Express
2131	RYL	
2132	IRA	Iran National Airlines Corp.
2133	EAB	Eagle Air
2134	EIX	Ei Air Exports Limited
2135	AUO	
2136	TVJ	Thai Vietjet Air
2137	WND	Caribbean Winds
2138	FED	Linea Federal Argentina S.e.m.
2139	BFO	Bombardier
2140	LNQ	
2141	SLY	Sky Line For Air Services Ltd
2142	JWY	Jetways
2143	VOI	Volaris
2144	JTE	Cobham
2145	EGJ	Eagle Jet Charter,
2146	TPY	Trans-provincial Airlines
2147	LBA	Liberia Airways
2148	CEN	Central Airways Corp
2149	CBJ	
2150	QAI	Conquest Air
2151	RGA	Region Air
2152	CCA	Air China
2153	COC	Firma Conseta, Saarbrucken
2154	EUP	Euroair
2155	RUC	Rutas Aereas, C.a.
2156	TWW	Trans Air Welwitchia
2157	AZV	Asov-Avia
2158	AJP	Aero Jets Corporativos de C.V.
2159	WAB	Aero Industries
2160	MDT	
2161	PWK	Jetstream
2162	AHY	Azerbaijan Airlines
2163	NPT	Atlantic Airlines
2164	WLM	
2165	TAJ	Tunisavia - Societe de Transports, Services Et Travaux Aeriens
2166	VUL	Elios
2167	WTV	Western Aviators
2168	PNX	AIS Airlines
2169	AAA	Ansett Australia Holdings
2170	TVF	
2171	DYN	
2172	FNA	Flugfelag Nordurlands
2173	EWT	Eastwest Airlines, Erfurt
2174	BAO	Bay Air Cargo S/a
2175	ROX	Robolex Aviation
2176	PZY	Performance Executive Airlines
2177	CTT	Custom Air Transport
2178	LAO	Lao
2179	BKF	BF-Lento Oy
2180	RJK	Rufiji
2181	CWW	Canair
2182	SPP	Sapphire Aviation
2183	ENY	
2184	CTC	C T C Air
2185	AXF	Asian Express Airlines
2186	WEX	Wings Express
2187	MCI	Maya Carga Internacional de C.V.
2188	SPK	Spectrum Air
2189	TAM	LATAM Brasil
2190	NGE	Angel Airlines
2191	ETC	African Transport Trading And Investment Co.
2192	SEP	
2193	ASC	Air Star
2194	MMP	Amp Incorporated
2195	NIN	
2196	NMD	Nomad Aviation (pty) Ltd T/A Bay Air Aviation
2197	AOM	Aom-Minerve S.A.
2198	THN	International Security Assistance Force
2199	RGY	Regency
2200	VDC	
2201	PKA	Equator Airlines
2202	AOC	Jv Avcom
2203	RRM	Acvila Air-Romanian Carrier
2204	CNE	Air Toronto
2205	HUR	Miami Air Charter
2206	KHR	Khazar
2207	CGW	Air Great Wall
2208	TMM	Traffic Management Corporation
2209	ZRZ	Centre de Controle Regional
2210	RGS	Renown Aviation
2211	OTE	Bae Military Division Warton
2212	ORP	Aerocorp de C.V.
2213	JES	Jes Air
2214	TGF	Aerotaxis Del Golfo de C.V.
2215	HTT	Air Tchad
2216	ZIZ	Flight Information Centre
2217	AMS	Air Muskoka
2218	OES	
2219	AJJ	Atlantic Jet Charter, LLC D/B/A Atlantic Jet
2220	RKT	Rayani Air
2221	BAH	The Amiri Flight-Bahrain
2222	MKI	Mk Flugfelagid Ehf
2223	MCB	Tbilisi State Aviation
2224	RKH	Royal Khmer
2225	LXJ	
2226	COH	Coltishall Ftu
2227	GPH	Sterling Helicopters Ltd
2228	UMA	Lineas Aereas Del Humaya de C.V.
2229	JAA	Jet Asia Airways
2230	BXL	Air Exel Belgique
2231	LMA	Aerolima de C.V.
2232	FFT	Frontier
2233	STN	St. Athan Mu
2234	TWI	Tailwind Airlines
2235	MBE	Martin-Baker Ltd.
2236	DRL	
2237	WAN	
2238	XTR	Sector Airlines
2239	ELV	Aereos Selva
2240	KYL	
2241	MMY	
2242	RTD	Flight International
2243	VOA	Viaggio Air
2244	HKS	Helikopter Service A/s
2245	DCA	Aerodacia
2246	JOL	Atyrau Aue Joly
2247	RAN	Renan Ltd
2248	PPK	Ramp 66
2249	GDE	Servicios Aereos Gadel de C.V.
2250	ORM	Orel State Air Enterprise
2251	PLM	
2252	VDO	Servicios Aereos Avandaro
2253	THS	Transportes Aereos Hispanos
2254	MHA	Mountain High Aviation
2255	SKT	Sky Services Aviation, S.l.
2256	UFS	Ufs
2257	KCI	Irving Oil Transport, Ltd
2258	FEL	First European Airways
2259	COU	Airlines Of Carriacou Ltd.
2260	XFX	Airways Corporation Of New Zealand
2261	UCR	Aero-Charter Ukraine Ltd
2262	MRR	West Isle Air
2263	NFT	Nefteyugansk Aviation Division
2264	AEF	Aero Lloyd Flugreisen GMBH Und Co.
2265	SVL	Sun Devil
2266	STM	Sociedad Anonima Empresa de Turismo Aereo
2267	BLZ	Aero Barloz de C.V.
2268	OBS	Orbest
2269	RSP	JetSuite Air
2270	TJT	Twin Jet
2271	EUI	Euravia
2272	NOC	Ascor Flyservice A.s.
2273	HAX	Hangar 5 Air Services Norway A/s
2274	STR	Astanair-Kazakhstan
2275	IBK	
2276	LDO	Elisusa
2277	MAK	Makedonski Aviotransport-Macedonian Airlines
2278	CLA	Comlux Aviation
2279	GRA	Great American Airways
2280	EMU	East Asia Airlines
2281	NRL	Nolinor Aviation
2282	SQS	Susi Air
2283	HMY	Hmy
2284	TNH	Turnhouse Flying Club
2285	WOK	Kovar Air
2286	NAK	New Kazakstan Airlines
2287	UBG	US-Bangla Airlines
2288	EOM	Aero Ermes de C.V.
2289	WCW	West Caribbean Airways
2290	AZZ	Azza Transport Co. Ltd
2291	ATU	Atlant Aerobatics Ltd
2292	FRU	Transportadora Fruyleg de C.V.
2293	AHO	Air Hamburg
2294	AAI	Air Aurora
2295	SIT	SITA
2296	RPI	Paradise Air
2297	ESF	Estafeta Carga Aerea
2298	UAB	United Arabian
2299	PGN	Volo Aviation
2300	ARP	Societe D'exploitation Aeropostale
2301	JLH	Jetlink Holland
2302	MVL	Magadan
2303	LUR	Lineas Aereas Latur de C.V.
2304	HLP	Helipistas S.l.
2305	MDR	Compania Mexicana de Aeroplanos
2306	NAN	National Airlines
2307	EUS	Eurasia Aircompany
2308	RGN	Regional Lineas Aereas
2309	DAT	
2310	MWI	Malawian Airlines
2311	HAW	Hawkair
2312	HJS	Helijet
2313	NBL	Nobil Air
2314	COX	Compion Aviation
2315	UHP	United Air Service
2316	KBO	Aero Tours
2317	MSD	Atlantic Coast Aircraft Services
2318	BAM	Business Air Services
2319	RUT	Routair Aviation Services
2320	GBT	Gold Belt Air Transport
2321	FAG	Fuerza Aerea Argentina
2322	FDA	Fuji Dream
2323	AGE	Servicios Aereos de Los Angeles de C.V.
2324	LOE	Loeser, Luftfahrtgesellschaft Mbh, Egelsbach
2325	WNC	Wenic Air Services
2326	WEA	White Eagle Aviation Ltd
2327	LLX	Small Planet
2328	VRL	Voar Lda.
2329	CYC	Cyprair Tours Ltd.
2330	IBT	Ibertrans Aerea S.l.
2331	VEG	Veg Air
2332	XAL	Aerovias Xalitic de C.V.
2333	MVK	Helicopter Training & Hire Ltd
2334	PLN	Polnippon Ltd.
2335	RUZ	Rosuertol
2336	SBN	Sabana , C.a.
2337	FBN	Afrique
2338	LSS	Lone Star
2339	PFZ	
2340	SFA	Aerotransportes Entre Rios Srl
2341	UAN	Aviaton
2342	GIV	Grivco International Ltd
2343	ABY	
2344	SOM	Somali Airlines
2345	MSG	Aviamost
2346	DER	Deerjet
2347	JIA	PSA Airlines
2348	RAM	Royal Air Maroc
2349	EVI	Evin-Evoluzioni-Industriali
2350	SEC	3d Aviation
2351	BSA	Ecole D'aviation Civile
2352	ASR	All Star
2353	STV	Saturn Aviation
2354	ATZ	Alarmond Limited
2355	FXR	Foxair
2356	ABR	Air Contractors
2357	DJR	
2358	CNR	Condor Aero Services
2359	TUI	TuiFly
2360	JTU	Zhetysu
2361	SVM	Aeroservicios Monterrey de C.V.
2362	JEJ	Jets Ejecutivos
2363	WFA	Westflug Aachen Luftfahrtgesellschaft Mbh, Wurselen
2364	AWD	Air World Ltd.
2365	PXG	
2366	ENI	Enimex
2367	IVW	Ivoire Airways
2368	MTO	Manitoulin Air Services Ltd.
2369	SKD	Sky Harbor Air Service
2370	KHO	Khors Aircompany
2371	AWT	Air West
2372	BSK	Miami Air International
2373	CEP	Chipola Aviation
2374	FPC	Lillbacka Jetair Oy
2375	OUA	University of Oklahoma
2376	IRO	Csa Air
2377	SAU	United Aviation Services
2378	MIM	Mimino
2379	DOA	Compania Dominicana de Aviacion
2380	BKS	Aviaexpress Cruise
2381	ANW	Aviacion Del Noroeste de C.V.
2382	CLK	Clark Aviation Corp.
2383	DSF	David See Flying Services
2384	KON	Bars
2385	SAA	South African Airways
2386	IDS	Ids Aircraft Ltd
2387	LMX	Aerolineas Mexicanas J.s. de C.V.
2388	KYC	Av Atlantic
2389	RAC	RAC
2390	NRX	Filder Air Service, Ruckersdorf
2391	ACN	Aerolineas Centroamericanas
2392	PYR	Pyramid Air Lines
2393	DEE	Transportation America Corporation D/B/A Dixie Airways
2394	CMB	
2395	PMM	
2396	GID	Sud Air Transport
2397	CVN	Bromma Flygskola AB
2398	NEW	Northeastern Aviation
2399	PRA	Flyair
2400	JHL	Jet Heritage Ltd
2401	RTS	Relief Transport Services Ltd.
2402	LJR	Hellas Wings Ltd
2403	CGI	CGI-Aero
2404	BHL	Bristow Helicopters
2405	DUT	Serendib Air International
2406	PRE	Precision Aircraft Management
2407	AAG	Air Atlantique
2408	CHB	
2409	SSH	Heritage Flight, Lls
2410	PTA	Ptarmigan
2411	JEK	Jet Link
2412	RGI	Regional Airlines
2413	TER	Territorial Airlines
2414	NCC	North Coast Air Services Ltd.
2415	OGN	Originair
2416	UYA	
2417	SLM	
2418	HBH	
2419	CCF	Ccf Manager Airline GMBH, Koln
2420	TJN	Tien-Shan
2421	HPR	Rick Lucus Helicopters Ltd
2422	PAK	Pacific Alaska Airlines
2423	GPD	Tradewind
2424	AAV	Pan Pacific
2425	WDR	Jetride
2426	TVN	Transcolombiana de Aviacion
2427	BVZ	Abavia
2428	NJC	Nashville Jet Charters
2429	NSR	National Air Charter, Pt.
2430	RMN	Rm Aviation Ltd
2431	RML	Armenian International
2432	DOW	
2433	ACL	Air Cavrel
2434	CPX	Capital Air Service
2435	GSE	Saga
2436	PEL	Aeropelican Air Services
2437	GIH	Union Des Transports Africains de Guinee
2438	NAT	North Atlantic Air
2439	UNF	Union Flights
2440	FYJ	
2441	XGO	
2442	DJB	Djibouti Airlines
2443	TRG	Atlantic Island Air
2444	PEV	Peoples Viennaline
2445	ARE	LAN Colombia
2446	SWH	Adler Aviation Ltd
2447	RBA	Royal Brunei
2448	UAC	United Air Charters
2449	KAR	
2450	ROM	Encompass
2451	VKY	
2452	BLU	SolutionsAir
2453	JCX	Jet Connection, Frankfurt
2454	ISA	Island
2455	FXC	Fortunair Canada
2456	TRX	Air Terrex
2457	LAX	Alpar Flug- Und Flugplatzgesellschaft AG
2458	GUG	
2459	SXX	Satellite Aero
2460	TGV	SNCF
2461	ADE	Ada Air
2462	PEG	
2463	AFC	African West Air
2464	BSC	Blue Sky Carrier
2465	RCC	Air Charters Eelde
2466	SHF	Support Helicopter Force
2467	MRG	Manag'air
2468	ENW	Aeronaves Del Noroeste
2469	SAC	Sudanese Aeronautical Services Co. Ltd
2470	PLT	South Carolina Aeronautics Commission
2471	MEJ	Medjet International
2472	TRP	Maryland State Police
2473	VSE	Vuelos Asesorias Y Representaciones de C.V.
2474	WLV	Phelps Collins Aviation, D/B/A Aviation North
2475	GTV	Empresa de Aviacion Aerogaviota
2476	AUZ	Amaszonas Uruguay
2477	JJP	Jetstar Japan
2478	PVO	Sky One Holdings
2479	MKR	Lanmei Airlines (Cambodia)
2480	NOP	Novair
2481	TEE	West Freugh Dteo
2482	APY	Apa Internacional
2483	XBO	
2484	WIZ	Merlin Flying College Limited
2485	MRJ	Meraj Airlines
2486	FST	Fast Air Ltda.
2487	AUI	Ukraine International
2488	EPR	Expreso Aereo
2489	DEB	Debonair, Luton
2490	FCB	Cobalt
2491	FLI	Atlantic Airways
2492	DPJ	Delta Private Jets
2493	WML	Chantilly Air
2494	DNA	Aerodespachos de El Salvador
2495	TCH	Trans-Charter
2496	HND	Hinterland Aviation
2497	PEM	Pem-air Limited
2498	BJK	Atlantic
2499	EAH	Baltimore Airways
2500	UZB	
2501	TIW	
2502	WIK	Waikato Aero Club
2503	FRS	Flandre Air Service
2504	ELA	Eastland Air
2505	HSI	Heliswiss, Schweizerische Helikopter AG
2506	NOM	Noman
2507	AMZ	Air Meuse - Dat Wallonie
2508	BMY	Bimini Island Air
2509	ALR	Algarvilara, Transportes Aereos Algarvios
2510	PAF	Panaf Airways
2511	KGA	
2512	MTS	Mantrust Asahi Airways
2513	PNI	Aerovias de Poniente de C.V.
2514	SLO	Edgartown Air
2515	LTC	Latcharter
2516	PRH	Pro Air
2517	WTN	Warton Bae
2518	PQA	Pacific Coast
2519	TRS	
2520	ABK	Alberta Citylink
2521	MKO	Makung Airlines
2522	HUC	Aerolineas de Tehuacan de C.V.
2523	TSX	Trans-Asia
2524	RTM	DHL Ecuador
2525	RWL	Rwl Luftfahrtgesellschaft Mbh & Co. Kg, Monchengladbach
2526	PLF	Polish Air Force
2527	BIN	Boise Interagency Fire Center
2528	GPA	Kingman Aviation
2529	SFY	FlightSafety Academy
2530	SOC	Ssa+, Joint-Stock Company
2531	LEC	Elicomo
2532	RAS	Jim Ratliff Air Service,inc. D/B/A Ras
2533	SSW	Streamline Aviation
2534	BAN	Air Ban
2535	AWI	Air Wisconsin
2536	IAD	
2537	TMK	Tomahawk
2538	UTL	Aviatia Utilitara SA
2539	WHE	Westland Helicopters Ltd.
2540	SKB	Skybus
2541	RCI	Air Cassai Lda.
2542	JHN	Johnson Air
2543	BBL	Ibm, Euroflight-Operations
2544	CAX	Capax-Air AG C/O Unitreva AG
2545	HTM	
2546	TOM	Thomson
2547	AGZ	Agrolet-MCI Ltd
2548	AWC	Titan
2549	ICE	Icelandair
2550	SVW	Silver Arrows
2551	WVL	Wizz Air
2552	PIV	Sokol, Joint-Stock Aviation Company
2553	FTG	Servicios Aereos Y Fotograficos de C.V.
2554	RDDL	
2555	XPD	Expedition Airways
2556	LTX	Leo Taxi Aereo de C.V.
2557	TZT	Air Zambezi
2558	OBA	Aerobanana de C.V.
2559	CTY	Cryderman Air Service
2560	SLA	Sierra National Airlines
2561	KTS	Kotlas Joint Civil Aviation Enterprise
2562	REO	Rio
2563	NCA	Nippon Cargo
2564	PTK	Petropavlovsk-Kamchatsk Air Enterprise
2565	SIK	Armadora
2566	MTN	Mountain Air Cargo
2567	ITM	Itapermirim Transportes Aereos
2568	ZAI	Zaire Aero Service
2569	DOJ	United States Department Of Justice Prisoner And Alien Transportation Service
2570	SRX	Sierra Expressway
2571	ERL	Euralair
2572	POC	Pocono
2573	CRM	Commander Mexicana de C.V.
2574	VRN	Voronezhavia
2575	BVI	BVI
2576	TOP	Top Air Havacilik Sanayi Ve Ticaret A.S.
2577	CDX	Cloudex Oy, Finland
2578	UNV	Ukraine Universal
2579	TWG	Air-Taxi Europe
2580	CRA	CRONOS
